gene	expression	threshold	direction	TH_id	Fay_id
RP11-311C24.1	1.65535182861	1.86435359716415	down	TH50_5281_S01	Sample 4
RP11-343C2.12	0	0.842607378959656	down	TH50_5281_S01	Sample 4
RP11-34P13.15	0	0.138966739177704	down	TH50_5281_S01	Sample 4
RP11-360L9.8	0	0.278122559189796	down	TH50_5281_S01	Sample 4
RP11-36C20.1	0.344828496997	0.357312738895416	down	TH50_5281_S01	Sample 4
RP11-373L24.1	0	0.116874873638153	down	TH50_5281_S01	Sample 4
RP11-379K17.12	0	0.721448332071304	down	TH50_5281_S01	Sample 4
RP11-384K6.2	0.226508529809	0.294310703873634	down	TH50_5281_S01	Sample 4
RP11-3P17.5	0	0.469261050224304	down	TH50_5281_S01	Sample 4
RP11-425L10.1	2.19534759832	2.59579795598984	down	TH50_5281_S01	Sample 4
RP11-44M6.7	0.53605290024	0.573808312416077	down	TH50_5281_S01	Sample 4
RP11-451G4.2	7.18159953482	7.41940343379974	down	TH50_5281_S01	Sample 4
RP11-452G18.2	0	0.00139078497886658	down	TH50_5281_S01	Sample 4
RP11-463I20.1	0	1.22612330317497	down	TH50_5281_S01	Sample 4
RP11-466H18.1	5.06738057802	5.38261944055557	down	TH50_5281_S01	Sample 4
RP11-475C16.1	1.84398384405	1.94715210795403	down	TH50_5281_S01	Sample 4
RP11-477I4.4	0	0.0542676448822021	down	TH50_5281_S01	Sample 4
RP11-513I15.6	0.48542682717	2.03591519594193	down	TH50_5281_S01	Sample 4
RP11-540B6.6	1.26903314646	1.3367303609848	down	TH50_5281_S01	Sample 4
RP11-572P18.1	3.81147103053	7.5137357711792	down	TH50_5281_S01	Sample 4
RP11-626G11.3	0	0.192030653357506	down	TH50_5281_S01	Sample 4
RP11-641D5.1	3.59812695992	4.69747710227966	down	TH50_5281_S01	Sample 4
RP11-673C5.1	2.67129337248	4.86174738407135	down	TH50_5281_S01	Sample 4
RP11-681H18.2	2.76128527336	3.44345563650131	down	TH50_5281_S01	Sample 4
RP11-770J1.5	0	0.140908509492874	down	TH50_5281_S01	Sample 4
RP11-78A19.3	0	1.62024825811386	down	TH50_5281_S01	Sample 4
RP11-79D8.2	0	1.29338043928146	down	TH50_5281_S01	Sample 4
RP11-927P21.5	0.2750070475	0.479778811335564	down	TH50_5281_S01	Sample 4
RP13-104F24.1	0.263034405834	0.652290344238281	down	TH50_5281_S01	Sample 4
RP13-104F24.3	0.495695162624	0.992966741323471	down	TH50_5281_S01	Sample 4
RP13-608F4.5	0.238786859587	0.89970675110817	down	TH50_5281_S01	Sample 4
RP4-583P15.15	0.367371065649	0.430616557598114	down	TH50_5281_S01	Sample 4
RP4-791M13.3	2.50589092973	3.01912218332291	down	TH50_5281_S01	Sample 4
RPAIN	3.47767732757	3.56769478321075	down	TH50_5281_S01	Sample 4
RPL11	7.78587744886	8.17401897907257	down	TH50_5281_S01	Sample 4
RPL13AP5	3.42223300068	3.58019769191742	down	TH50_5281_S01	Sample 4
RPL14	7.92694824795	8.15855503082275	down	TH50_5281_S01	Sample 4
RPL17	7.67355642399	7.83260536193848	down	TH50_5281_S01	Sample 4
RPL18AP3	3.44228003525	3.59887385368347	down	TH50_5281_S01	Sample 4
RPL19	8.9693289563	9.04831886291504	down	TH50_5281_S01	Sample 4
RPL24P2	0.111031312389	0.966998487710953	down	TH50_5281_S01	Sample 4
RPL27	7.98515884275	8.87892663478851	down	TH50_5281_S01	Sample 4
RPL27A	8.17282750727	8.49627470970154	down	TH50_5281_S01	Sample 4
RPL31	8.67058544026	8.68635284900665	down	TH50_5281_S01	Sample 4
RPL36A	7.1144711418	7.60447120666504	down	TH50_5281_S01	Sample 4
RPL36AL	4.57893871309	5.83821088075638	down	TH50_5281_S01	Sample 4
